segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T11:07:09.309700,A,240p,200,668.94,0.299,33.21,33.21,3.7,1,1,0.299,0
2,2026-06-23T11:07:09.578147,A,240p,200,745.51,0.2683,27.82,31.6,7.43,1,0,0.0,0
3,2026-06-23T11:07:10.014447,A,360p,400,917.16,0.4361,34.45,32.45,11.0,1,0,0.0,0
4,2026-06-23T11:07:10.484475,A,360p,400,851.49,0.4698,29.47,31.56,14.53,1,0,0.0,0
5,2026-06-23T11:07:10.943886,A,360p,400,871.07,0.4592,32.89,31.96,14.54,1,0,0.0,0
6,2026-06-23T11:07:11.386189,A,360p,400,904.98,0.442,24.35,29.67,14.56,1,0,0.0,0
7,2026-06-23T11:07:11.809342,A,360p,400,945.91,0.4229,26.74,28.79,14.58,1,0,0.0,0
8,2026-06-23T11:07:12.217046,A,360p,400,981.6,0.4075,28.34,28.66,14.59,1,0,0.0,0
9,2026-06-23T11:07:12.607722,A,360p,400,1024.42,0.3905,17.32,25.26,14.61,1,0,0.0,0
10,2026-06-23T11:07:13.019232,A,360p,400,972.81,0.4112,28.47,26.22,14.59,1,0,0.0,0
11,2026-06-23T11:07:13.516610,A,360p,400,804.84,0.497,22.29,25.04,14.5,1,0,0.0,0
12,2026-06-23T11:07:13.888776,A,360p,400,1075.35,0.372,20.53,23.69,14.63,1,0,0.0,0
13,2026-06-23T11:07:14.314913,A,360p,400,939.42,0.4258,34.87,27.04,14.57,1,0,0.0,0
14,2026-06-23T11:07:14.720411,A,360p,400,987.18,0.4052,24.73,26.35,14.59,1,0,0.0,0
15,2026-06-23T11:07:15.123373,A,360p,400,993.44,0.4026,26.47,26.39,14.6,1,0,0.0,0
16,2026-06-23T11:07:15.524115,A,360p,400,998.95,0.4004,16.45,23.4,14.6,1,0,0.0,0
17,2026-06-23T11:07:16.097887,A,360p,400,697.57,0.5734,23.7,23.49,14.43,1,0,0.0,0
18,2026-06-23T11:07:16.630621,A,360p,400,751.29,0.5324,23.62,23.53,14.47,1,0,0.0,0
19,2026-06-23T11:07:17.077336,A,360p,400,896.14,0.4464,32.23,26.14,14.55,1,0,0.0,0
20,2026-06-23T11:07:17.486211,A,360p,400,979.06,0.4086,26.08,26.12,14.59,1,0,0.0,0
