segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T11:04:45.113606,A,480p,800,1210.56,0.4956,19.98,19.98,3.5,1,1,0.4956,0
2,2026-06-23T11:04:45.859307,A,480p,800,804.99,0.7453,42.9,26.86,6.76,1,0,0.0,0
3,2026-06-23T11:04:46.289405,A,360p,400,930.8,0.4297,23.69,25.91,10.33,1,0,0.0,0
4,2026-06-23T11:04:46.717364,A,360p,400,935.5,0.4276,21.84,24.69,13.9,1,0,0.0,0
5,2026-06-23T11:04:47.096049,A,360p,400,1057.41,0.3783,15.41,21.9,14.62,1,0,0.0,0
6,2026-06-23T11:04:47.609580,A,480p,800,1169.2,0.5132,23.81,22.47,14.49,1,0,0.0,0
7,2026-06-23T11:04:48.110325,A,480p,800,1199.18,0.5003,16.66,20.73,14.5,1,0,0.0,0
8,2026-06-23T11:04:48.627840,A,480p,800,1160.17,0.5172,20.03,20.52,14.48,1,0,0.0,0
9,2026-06-23T11:04:49.178660,A,480p,800,1089.93,0.5505,20.01,20.37,14.45,1,0,0.0,0
10,2026-06-23T11:04:49.715396,A,480p,800,1118.58,0.5364,26.13,22.09,14.46,1,0,0.0,0
11,2026-06-23T11:04:50.215467,A,480p,800,1200.6,0.4997,22.36,22.17,14.5,1,0,0.0,0
12,2026-06-23T11:04:50.722084,A,480p,800,1185.11,0.5063,23.74,22.64,14.49,1,0,0.0,0
13,2026-06-23T11:04:51.251113,A,480p,800,1134.92,0.5287,31.63,25.34,14.47,1,0,0.0,0
14,2026-06-23T11:04:51.792761,A,480p,800,1108.36,0.5413,22.34,24.44,14.46,1,0,0.0,0
15,2026-06-23T11:04:52.311113,A,480p,800,1158.28,0.518,23.65,24.2,14.48,1,0,0.0,0
16,2026-06-23T11:04:52.808114,A,480p,800,1208.15,0.4966,21.65,23.44,14.5,1,0,0.0,0
17,2026-06-23T11:04:53.340539,A,480p,800,1127.59,0.5321,29.72,25.32,14.47,1,0,0.0,0
18,2026-06-23T11:04:53.907297,A,480p,800,1059.25,0.5664,22.25,24.4,14.43,1,0,0.0,0
19,2026-06-23T11:04:54.476901,A,480p,800,1053.95,0.5693,22.55,23.85,14.43,1,0,0.0,0
20,2026-06-23T11:04:55.016822,A,480p,800,1111.92,0.5396,16.27,21.57,14.46,1,0,0.0,0
